keyword,canonical_url,category,priority,weekly_impressions,weekly_clicks,ctr,average_position,naver_indexed,google_indexed
"서울 동물병원 진료비","https://pet.dudle.co.kr/cost/seoul","COST_REGION","P0","","","","","",""
"강남구 동물병원 진료비","https://pet.dudle.co.kr/cost/seoul/r-11680","COST_REGION","P0","","","","","",""
"송파구 동물병원 진료비","https://pet.dudle.co.kr/cost/seoul/r-11710","COST_REGION","P0","","","","","",""
"울산 동물병원 진료비","https://pet.dudle.co.kr/cost/ulsan","COST_REGION","P0","","","","","",""
"세종 동물병원","https://pet.dudle.co.kr/hospital/sejong","HOSPITAL_REGION","P0","","","","","",""
"춘천 동물병원 진료비","https://pet.dudle.co.kr/cost/gangwon/chuncheon","COST_REGION","P0","","","","","",""
"포항 동물병원 진료비","https://pet.dudle.co.kr/cost/gyeongbuk/pohang","COST_REGION","P0","","","","","",""
"서초구 동물병원 진료비","https://pet.dudle.co.kr/cost/seoul/r-11650","COST_REGION","P0","","","","","",""
"춘천 동물병원","https://pet.dudle.co.kr/hospital/gangwon/r-51110","HOSPITAL_REGION","P0","","","","","",""
"해운대구 동물병원 진료비","https://pet.dudle.co.kr/cost/busan/r-26350","COST_REGION","P0","","","","","",""
"용인 동물병원 진료비","https://pet.dudle.co.kr/cost/gyeonggi/r-41460","COST_REGION","P0","","","","","",""
"순천 동물병원 진료비","https://pet.dudle.co.kr/cost/jeonnam-gwangju/suncheon","COST_REGION","P0","","","","","",""
"여수 동물병원 진료비","https://pet.dudle.co.kr/cost/jeonnam-gwangju/yeosu","COST_REGION","P0","","","","","",""
"순천 동물병원","https://pet.dudle.co.kr/hospital/jeonnam-gwangju/suncheon","HOSPITAL_REGION","P0","","","","","",""
"여수 동물병원","https://pet.dudle.co.kr/hospital/jeonnam-gwangju/yeosu","HOSPITAL_REGION","P0","","","","","",""
"인천 반려동물 장례식장","https://pet.dudle.co.kr/funeral/incheon","FUNERAL_REGION","P0","","","","","",""
"청주 반려동물 장례식장","https://pet.dudle.co.kr/funeral/chungbuk/r-43110","FUNERAL_REGION","P0","","","","","",""
"부산 반려동물 장례식장","https://pet.dudle.co.kr/funeral/busan","FUNERAL_REGION","P0","","","","","",""
"천안 반려동물 장례식장","https://pet.dudle.co.kr/funeral/chungnam/r-44130","FUNERAL_REGION","P0","","","","","",""
"대구 반려동물 장례식장","https://pet.dudle.co.kr/funeral/daegu","FUNERAL_REGION","P0","","","","","",""
"용인 반려동물 장례식장","https://pet.dudle.co.kr/funeral/gyeonggi/r-41460","FUNERAL_REGION","P0","","","","","",""
"제주 반려동물 장례식장","https://pet.dudle.co.kr/funeral/jeju","FUNERAL_REGION","P0","","","","","",""
"순천 반려동물 장례식장","https://pet.dudle.co.kr/funeral/jeonnam-gwangju/suncheon","FUNERAL_REGION","P0","","","","","",""
"울산 반려동물 장례식장","https://pet.dudle.co.kr/funeral/ulsan","FUNERAL_REGION","P0","","","","","",""
"경기 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi","PHARMACY_REGION","P1","","","","","",""
"경기 동물병원","https://pet.dudle.co.kr/hospital/gyeonggi","HOSPITAL_REGION","P1","","","","","",""
"경상남 동물약국","https://pet.dudle.co.kr/pharmacy/gyeongnam","PHARMACY_REGION","P1","","","","","",""
"전남광주 동물약국","https://pet.dudle.co.kr/pharmacy/jeonnam-gwangju","PHARMACY_REGION","P1","","","","","",""
"경상북 동물약국","https://pet.dudle.co.kr/pharmacy/gyeongbuk","PHARMACY_REGION","P1","","","","","",""
"전북 동물약국","https://pet.dudle.co.kr/pharmacy/jeonbuk","PHARMACY_REGION","P1","","","","","",""
"충청남 동물약국","https://pet.dudle.co.kr/pharmacy/chungnam","PHARMACY_REGION","P1","","","","","",""
"전남광주 동물병원","https://pet.dudle.co.kr/hospital/jeonnam-gwangju","HOSPITAL_REGION","P1","","","","","",""
"경상남 동물병원","https://pet.dudle.co.kr/hospital/gyeongnam","HOSPITAL_REGION","P1","","","","","",""
"경상북 동물병원","https://pet.dudle.co.kr/hospital/gyeongbuk","HOSPITAL_REGION","P1","","","","","",""
"고양 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41280","PHARMACY_REGION","P1","","","","","",""
"강원 동물약국","https://pet.dudle.co.kr/pharmacy/gangwon","PHARMACY_REGION","P1","","","","","",""
"충청남 동물병원","https://pet.dudle.co.kr/hospital/chungnam","HOSPITAL_REGION","P1","","","","","",""
"충청북 동물약국","https://pet.dudle.co.kr/pharmacy/chungbuk","PHARMACY_REGION","P1","","","","","",""
"부천 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41190","PHARMACY_REGION","P1","","","","","",""
"화성 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41590","PHARMACY_REGION","P1","","","","","",""
"전북 동물병원","https://pet.dudle.co.kr/hospital/jeonbuk","HOSPITAL_REGION","P1","","","","","",""
"남양주 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41360","PHARMACY_REGION","P1","","","","","",""
"안산 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41270","PHARMACY_REGION","P1","","","","","",""
"충청북 동물병원","https://pet.dudle.co.kr/hospital/chungbuk","HOSPITAL_REGION","P1","","","","","",""
"안양 동물약국","https://pet.dudle.co.kr/pharmacy/gyeonggi/r-41170","PHARMACY_REGION","P1","","","","","",""
"강원 동물병원","https://pet.dudle.co.kr/hospital/gangwon","HOSPITAL_REGION","P1","","","","","",""
